"code","source_code","source_type","group","value","status","theme_7p_stp","swot_category","source_file","evidence_ref","notes","analysis_use","triangulation_need","claim_level"
"PS-WPM-001","W-PM-202604","wawancara-awal-pemilik","profil-usaha","Nasi Gerilya mulai berjalan sejak September 2024 dan sejak awal diarahkan ke kanal online.","included-derived-note","Place, targeting","Strength/opportunity","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Tabel profil wawancara awal","Data berasal dari catatan wawancara awal yang sudah diringkas peneliti.","Konteks Bab I dan profil usaha; dasar membaca umur usaha dan orientasi kanal digital.","Validasi dengan wawancara pemilik terbaru bila tersedia.","context"
"PS-WPM-002","W-PM-202604","wawancara-awal-pemilik","kanal-penjualan","Kanal online yang digunakan adalah GrabFood, GoFood, dan ShopeeFood.","included-derived-note","Place","Strength","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 2","Menunjukkan portofolio kanal online awal usaha.","Mendukung analisis place/distribution dan alasan fokus GrabFood.","Triangulasi dengan admin/checker dan data order platform.","context"
"PS-WPM-003","W-PM-202604","wawancara-awal-pemilik","kanal-penjualan","GrabFood disebut sebagai kanal utama dan diperkirakan menyumbang lebih dari 50 persen pendapatan penjualan.","included-derived-note","Place, targeting","Strength","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 3; Tabel penggunaan platform","Angka bersifat keterangan pemilik, bukan laporan transaksi mentah terbaru.","Menguatkan alasan penelitian berfokus pada GrabFood.","Perlu validasi data penjualan terbaru untuk klaim kuantitatif final.","moderate"
"PS-WPM-004","W-PM-202604","wawancara-awal-pemilik","kanal-penjualan","GrabFood dinilai paling sesuai dengan segmen pelanggan Nasi Gerilya.","included-derived-note","Targeting, positioning","Opportunity","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 3","Berupa persepsi dan pertimbangan pemilik.","Mendukung rumusan strategi targeting pada platform utama.","Cek dengan pelanggan dan data demografi/order bila tersedia.","moderate"
"PS-WPM-005","W-PM-202604","wawancara-awal-pemilik","kanal-penjualan","GoFood dinilai lebih banyak menjangkau pengguna pinggiran kota sehingga kurang sesuai dengan segmen sasaran usaha.","included-derived-note","Targeting, place","Threat/limitation","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 4","Keterangan komparatif antar platform dari pemilik.","Mendukung batasan penelitian agar tidak melebar ke platform lain.","Perlu data platform lain bila ingin membandingkan secara final.","context"
"PS-WPM-006","W-PM-202604","wawancara-awal-pemilik","kanal-penjualan","ShopeeFood dinilai kuat pada pembeli pencari voucher, tetapi tidak selalu menghasilkan pelanggan ulang.","included-derived-note","Promotion, loyalty","Threat/limitation","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 4","Keterangan ini menandai risiko perilaku beli berbasis diskon.","Mendukung analisis ketergantungan promo dan repeat order.","Triangulasi dengan survei pelanggan tentang voucher dan repeat order.","moderate"
"PS-WPM-007","W-PM-202604","wawancara-awal-pemilik","komposisi-pelanggan","Komposisi pelanggan online saat wawancara awal: 55 persen pelanggan baru, 38 persen repeat order, dan 7 persen reactivated user.","included-derived-note","STP, loyalty","Strength/weakness","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 5; Tabel komposisi pelanggan","Data berupa komposisi yang disampaikan pemilik pada April 2026.","Mendukung pembacaan masalah loyalitas dan repeat order.","Perlu dokumen pelanggan terbaru untuk klaim final.","moderate"
"PS-WPM-008","W-PM-202604","wawancara-awal-pemilik","komposisi-pelanggan","Dibanding periode sebelumnya, pelanggan baru naik dari 45 persen ke 55 persen, repeat order turun dari 43 persen ke 38 persen, dan reactivated user turun dari 12 persen ke 7 persen.","included-derived-note","STP, loyalty","Weakness/opportunity","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 5; Tabel komposisi pelanggan","Pemilik mengaitkan perubahan dengan marketing plan high season.","Menjadi dasar awal isu trial tinggi tetapi loyalitas perlu diperkuat.","Perlu data pelanggan terbaru untuk memvalidasi tren.","moderate"
"PS-WPM-009","W-PM-202604","wawancara-awal-pemilik","kekuatan-produk","Kekuatan utama menurut pemilik adalah rasa yang otentik.","included-derived-note","Product, positioning","Strength","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 6","Klaim internal pemilik atas kualitas produk.","Masuk faktor kekuatan awal dan perlu diuji melalui pelanggan/ulasan.","Triangulasi dengan survei pelanggan, ulasan, dan wawancara dapur.","moderate"
"PS-WPM-010","W-PM-202604","wawancara-awal-pemilik","kekuatan-merek","Pemilik menilai karakter merek dan brand recognition Nasi Gerilya cukup kuat.","included-derived-note","Positioning, physical evidence","Strength","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 6","Klaim internal tentang ingatan merek.","Mendukung analisis positioning dan peluang diferensiasi.","Triangulasi dengan pelanggan dan bukti tampilan digital.","moderate"
