"code","type","group","value","status","sentiment","rating","price","source_screenshot","crop_file","crop_x","crop_y","crop_w","crop_h","notes","analysis_use"
"GF-PROFILE-001","nama_toko","profile-rating","Nasi Gerilya - Glugur Kota","terlihat","","","","O-GF-20260613-crop-031-profil-rating.jpeg","coded-data/profile-rating/gf-profile-001-nasi-gerilya-glugur-kota.jpeg","0","145","739","230","Nama merchant dan kategori/tag: Halal, Nasi, Nasi Padang, Rendang Daging Sapi.","Identitas objek observasi dan positioning kategori."
"GF-PROFILE-002","status_jarak_platform","profile-rating","Tutup; buka besok; jarak 6.6 km; badge Grab bintang 5 dan centang","terlihat","","","","O-GF-20260613-crop-031-profil-rating.jpeg","coded-data/profile-rating/gf-profile-002-tutup-buka-besok-jarak-6-6-km-badge-grab-bintang-5-dan-centang.jpeg","0","345","739","175","Status toko sedang tutup pada saat screenshot; jarak 6,6 km terlihat.","Konteks operasional pada platform GrabFood."
"GF-RATING-001","rating","profile-rating","Rating 4.7 dari 4.584 penilaian","terlihat","","4.7","","O-GF-20260613-crop-031-profil-rating.jpeg","coded-data/profile-rating/gf-rating-001-rating-4-7-dari-4-584-penilaian.jpeg","0","500","739","260","Distribusi bintang terlihat dominan di rating 5.","Bukti reputasi platform dan kepuasan pelanggan agregat."
"GF-REVIEW-SUMMARY-001","ringkasan_ulasan_ai","profile-rating","AI summary: rasa enak, porsi besar, bahan segar, kemasan rapi, menu beragam, harga terjangkau","terlihat","positif_agregat","","","O-GF-20260613-crop-031-profil-rating.jpeg","coded-data/profile-rating/gf-review-summary-001-ai-summary-rasa-enak-porsi-besar-bahan-segar-kemasan-rapi-menu-berag.jpeg","0","780","739","560","Ringkasan AI menyebut rasa, pengemasan, dan variasi menu sebagai aspek positif.","Bahan awal kekuatan internal dan validasi tema ulasan positif."
"GF-PROMO-001","promo_voucher","promo-voucher","Diskon 17% hingga Rp50.000; tanpa belanja minimum","aktif_terlihat","","","","O-GF-20260613-crop-029-promo.jpeg","coded-data/promo-voucher/gf-promo-001-diskon-17-hingga-rp50-000-tanpa-belanja-minimum.jpeg","0","105","739","140","Promo/voucher terlihat pada halaman Promo GrabFood.","Bukti kegiatan promosi dan insentif pembelian di platform."
"GF-PROMO-002","promo_voucher","promo-voucher","Diskon Rp15.000 BSI; minimum belanja terlihat terpotong","aktif_terlihat","","","","O-GF-20260613-crop-029-promo.jpeg","coded-data/promo-voucher/gf-promo-002-diskon-rp15-000-bsi-minimum-belanja-terlihat-terpotong.jpeg","0","240","739","130","Promo/voucher terlihat pada halaman Promo GrabFood.","Bukti kegiatan promosi dan insentif pembelian di platform."
"GF-PROMO-003","promo_voucher","promo-voucher","Diskon Rp10.000 BTN; minimum belanja terlihat terpotong","aktif_terlihat","","","","O-GF-20260613-crop-029-promo.jpeg","coded-data/promo-voucher/gf-promo-003-diskon-rp10-000-btn-minimum-belanja-terlihat-terpotong.jpeg","0","365","739","130","Promo/voucher terlihat pada halaman Promo GrabFood.","Bukti kegiatan promosi dan insentif pembelian di platform."
"GF-PROMO-004","promo_voucher","promo-voucher","Diskon Rp25.000 Bank Mega Syariah; minimum belanja terlihat terpotong","aktif_terlihat","","","","O-GF-20260613-crop-029-promo.jpeg","coded-data/promo-voucher/gf-promo-004-diskon-rp25-000-bank-mega-syariah-minimum-belanja-terlihat-terpotong.jpeg","0","490","739","130","Promo/voucher terlihat pada halaman Promo GrabFood.","Bukti kegiatan promosi dan insentif pembelian di platform."
"GF-PROMO-005","promo_voucher","promo-voucher","Diskon Rp4.500 untuk Gulai Cincang Gerilya","aktif_terlihat","","","","O-GF-20260613-crop-029-promo.jpeg","coded-data/promo-voucher/gf-promo-005-diskon-rp4-500-untuk-gulai-cincang-gerilya.jpeg","0","615","739","130","Promo/voucher terlihat pada halaman Promo GrabFood.","Bukti kegiatan promosi dan insentif pembelian di platform."
"GF-PROMO-006","promo_voucher","promo-voucher","Diskon Rp15.000 Bank Mega; minimum belanja terlihat terpotong","aktif_terlihat","","","","O-GF-20260613-crop-029-promo.jpeg","coded-data/promo-voucher/gf-promo-006-diskon-rp15-000-bank-mega-minimum-belanja-terlihat-terpotong.jpeg","0","740","739","130","Promo/voucher terlihat pada halaman Promo GrabFood.","Bukti kegiatan promosi dan insentif pembelian di platform."
