"no","original_file","raw_file","cropped_file","category","duplicate_of","sha256","width","height","cropped_top_px","description"
"001","WhatsApp Image 2026-06-13 at 22.56.07.jpeg","raw/O-GF-20260613-raw-001.jpeg","cropped/O-GF-20260613-crop-001-ulasan-pelanggan.jpeg","ulasan-pelanggan","","C7A94D00521B86C7D8A56C5B36EF551A8896D4B110BA75D60D6A81EA9D4065CF","739","1600","78","Ulasan pelanggan terbaru berisi keluhan kelengkapan lauk/pesanan dan balasan restoran."
"002","WhatsApp Image 2026-06-13 at 22.56.071.jpeg","raw/O-GF-20260613-raw-002.jpeg","cropped/O-GF-20260613-crop-002-ulasan-pelanggan.jpeg","ulasan-pelanggan","","CF4B22E3D6FA64DD8FC2DD35D670816F1B7553D3BC67927A182BCB5FEEF035D8","739","1600","78","Ulasan pelanggan terbaru lanjutan dan balasan restoran."
"003","WhatsApp Image 2026-06-13 at 22.56.08.jpeg","raw/O-GF-20260613-raw-003.jpeg","cropped/O-GF-20260613-crop-003-ulasan-pelanggan.jpeg","ulasan-pelanggan","","F0DEC6E10872AA3DF02CFA0CCE80925C2CE1DF67B48767666A51946DEA99EAC8","739","1600","78","Ulasan pelanggan dengan foto makanan dan balasan restoran."
"004","WhatsApp Image 2026-06-13 at 22.56.081.jpeg","raw/O-GF-20260613-raw-004.jpeg","cropped/O-GF-20260613-crop-004-ulasan-pelanggan.jpeg","ulasan-pelanggan","","0F9C32CCC8F352D085FA73D5A1E65743B5FD5209B68C8AFC2F95DEE29BB8EF58","739","1600","78","Ulasan pelanggan dengan foto bukti pesanan/struk dan balasan restoran."
"005","WhatsApp Image 2026-06-13 at 22.56.09.jpeg","raw/O-GF-20260613-raw-005.jpeg","cropped/O-GF-20260613-crop-005-ulasan-pelanggan.jpeg","ulasan-pelanggan","","8256469161E3A654AAA5698F8C8F88EAD1AE81407D230E0F64704F3BA5D7853E","739","1600","78","Ulasan pelanggan terkait kesesuaian pesanan dan balasan restoran."
"006","WhatsApp Image 2026-06-13 at 22.56.091.jpeg","raw/O-GF-20260613-raw-006.jpeg","cropped/O-GF-20260613-crop-006-ulasan-pelanggan.jpeg","ulasan-pelanggan","","9CDB2F5E70F4DD3FAF12FD9882A496E996EE8B57C94A28688E02A4829199E555","739","1600","78","Ulasan pelanggan terbaru lanjutan dan balasan restoran."
"007","WhatsApp Image 2026-06-13 at 22.56.10.jpeg","raw/O-GF-20260613-raw-007.jpeg","cropped/O-GF-20260613-crop-007-ulasan-pelanggan.jpeg","ulasan-pelanggan","","1A76AF2F219CEC34F72B23F49158CA59DD8119DBF639E045A0D29FE00576FA7A","739","1600","78","Ulasan pelanggan terbaru lanjutan dan balasan restoran."
"008","WhatsApp Image 2026-06-13 at 22.56.101.jpeg","raw/O-GF-20260613-raw-008.jpeg","cropped/O-GF-20260613-crop-008-menu-minuman-tambahan.jpeg","menu-minuman-tambahan","","74EACA16B1B976BC17A0EADE9DF514CDE183076AD2D96A528C1730EA023D2ABD","739","1600","78","Tampilan menu awal: minuman panas dan menu kepala ikan."
"009","WhatsApp Image 2026-06-13 at 22.56.102.jpeg","raw/O-GF-20260613-raw-009.jpeg","cropped/O-GF-20260613-crop-009-menu-minuman-tambahan.jpeg","menu-minuman-tambahan","","BD2BCA9687AEB10983B1A81AAEE4BB414F863A27CED2FE7BC1AEF26A95B47F1F","739","1600","78","Tampilan menu minuman panas/minuman segar."
"010","WhatsApp Image 2026-06-13 at 22.56.103.jpeg","raw/O-GF-20260613-raw-010.jpeg","","menu-minuman-tambahan","009","BD2BCA9687AEB10983B1A81AAEE4BB414F863A27CED2FE7BC1AEF26A95B47F1F","739","1600","","Duplikat identik dari screenshot nomor 009."
"011","WhatsApp Image 2026-06-13 at 22.56.11.jpeg","raw/O-GF-20260613-raw-011.jpeg","cropped/O-GF-20260613-crop-011-menu-minuman-tambahan.jpeg","menu-minuman-tambahan","","1FD44772789DF5758C134379597F536F1705A48DD9460FEE956C451AB57BD5EB","739","1600","78","Tampilan menu minuman segar lanjutan."
"012","WhatsApp Image 2026-06-13 at 22.56.111.jpeg","raw/O-GF-20260613-raw-012.jpeg","cropped/O-GF-20260613-crop-012-menu-minuman-tambahan.jpeg","menu-minuman-tambahan","","CDE0AF9443D8BFDF94EDBE8F5BE62BB9D85A3B97B122A45669DF393E15E9EFCD","739","1600","78","Tampilan menu minuman segar dan sambal botol."
"013","WhatsApp Image 2026-06-13 at 22.56.112.jpeg","raw/O-GF-20260613-raw-013.jpeg","cropped/O-GF-20260613-crop-013-menu-minuman-tambahan.jpeg","menu-minuman-tambahan","","770D3767E26F7D73144D53D105D59670E62195F4652B1074CEDCD9ED03C6AE88","739","1600","78","Tampilan kategori sambal dan menu tambahan."
"014","WhatsApp Image 2026-06-13 at 22.56.12.jpeg","raw/O-GF-20260613-raw-014.jpeg","cropped/O-GF-20260613-crop-014-menu-paket-lauk.jpeg","menu-paket-lauk","","AF0994CF657F123115C9304A422107F30B32BB0418B2AE8F4AAE8E5CEA761C16","739","1600","78","Tampilan menu lauk/tambahan lanjutan."
"015","WhatsApp Image 2026-06-13 at 22.56.121.jpeg","raw/O-GF-20260613-raw-015.jpeg","cropped/O-GF-20260613-crop-015-menu-paket-lauk.jpeg","menu-paket-lauk","","5FDA8AA78B1247548B50F47CE48CFD1F02EABA793A3727AEFCF3CB6241982D15","739","1600","78","Tampilan menu lauk/tambahan lanjutan."
"016","WhatsApp Image 2026-06-13 at 22.56.13.jpeg","raw/O-GF-20260613-raw-016.jpeg","cropped/O-GF-20260613-crop-016-menu-paket-lauk.jpeg","menu-paket-lauk","","71D17BC87C766494F20E88014086E357ACA00197F3179362E988607FDA69C334","739","1600","78","Tampilan menu lauk/tambahan lanjutan."
"017","WhatsApp Image 2026-06-13 at 22.56.131.jpeg","raw/O-GF-20260613-raw-017.jpeg","cropped/O-GF-20260613-crop-017-menu-paket-lauk.jpeg","menu-paket-lauk","","F419C03E5AE984A766533B5E4CFC07E55426FDEC6DE7958F637B015D2BD15BC9","739","1600","78","Tampilan menu lauk/tambahan lanjutan."
"018","WhatsApp Image 2026-06-13 at 22.56.132.jpeg","raw/O-GF-20260613-raw-018.jpeg","cropped/O-GF-20260613-crop-018-menu-paket-lauk.jpeg","menu-paket-lauk","","0CC0B5E9D4599A095F073E8E9150F4F7EB369289D1B29DD2AC03835E4CFE7DBD","739","1600","78","Tampilan menu lauk/tambahan lanjutan."
"019","WhatsApp Image 2026-06-13 at 22.56.14.jpeg","raw/O-GF-20260613-raw-019.jpeg","cropped/O-GF-20260613-crop-019-menu-paket-lauk.jpeg","menu-paket-lauk","","10A031570ED74ECEF1A84FEAD09A314C94261137D1F18C742BD29FED19FD4CE3","739","1600","78","Tampilan menu lauk/tambahan lanjutan."
"020","WhatsApp Image 2026-06-13 at 22.56.141.jpeg","raw/O-GF-20260613-raw-020.jpeg","","menu-paket-lauk","019","10A031570ED74ECEF1A84FEAD09A314C94261137D1F18C742BD29FED19FD4CE3","739","1600","","Duplikat identik dari screenshot nomor 019."
"021","WhatsApp Image 2026-06-13 at 22.56.142.jpeg","raw/O-GF-20260613-raw-021.jpeg","cropped/O-GF-20260613-crop-021-menu-paket-lauk.jpeg","menu-paket-lauk","","8DAD78FD36DC6EBFA685B9D6E801623EC4EC7F6607353EEC592F2D2C6F7D12CA","739","1600","78","Tampilan bagian rekomendasi orang-orang dan pesanan tambahan/side dish."
"022","WhatsApp Image 2026-06-13 at 22.56.143.jpeg","raw/O-GF-20260613-raw-022.jpeg","cropped/O-GF-20260613-crop-022-menu-paket-lauk.jpeg","menu-paket-lauk","","3FB4DCBBF9FA1CB23029719E05F9C78198B13F8CA5873D565C1C3D7AD3351B0C","739","1600","78","Tampilan menu pesanan tambahan/side dish lanjutan."
"023","WhatsApp Image 2026-06-13 at 22.56.15.jpeg","raw/O-GF-20260613-raw-023.jpeg","cropped/O-GF-20260613-crop-023-menu-paket-lauk.jpeg","menu-paket-lauk","","DF5459638A99443A8014B59AFB6CED6515396D9FFA116C7F6E0252B8B0141699","739","1600","78","Tampilan kategori menu nasi/paket dan lauk."
"024","WhatsApp Image 2026-06-13 at 22.56.151.jpeg","raw/O-GF-20260613-raw-024.jpeg","cropped/O-GF-20260613-crop-024-menu-paket-lauk.jpeg","menu-paket-lauk","","9BF199A6DC7A54132568DBB5DFF84E87506CB0D968F2F358BBAFCA574AB67FCD","739","1600","78","Tampilan kategori menu nasi/paket dan lauk lanjutan."
"025","WhatsApp Image 2026-06-13 at 22.56.16.jpeg","raw/O-GF-20260613-raw-025.jpeg","cropped/O-GF-20260613-crop-025-menu-paket-lauk.jpeg","menu-paket-lauk","","2E6FAFD9191F7A056DC0AF2C6AD2D57A96CC5CEAEEF469B4336CE2F34FE2A4AD","739","1600","78","Tampilan kategori menu nasi/paket dan lauk lanjutan."
"026","WhatsApp Image 2026-06-13 at 22.56.161.jpeg","raw/O-GF-20260613-raw-026.jpeg","cropped/O-GF-20260613-crop-026-menu-paket-lauk.jpeg","menu-paket-lauk","","649101356FC61FAC2EC6C359BFDBEC3A0B67180E976C0BC0E8B7DF1B07204BA6","739","1600","78","Tampilan kategori Gerilya Nasi Padang."
"027","WhatsApp Image 2026-06-13 at 22.56.162.jpeg","raw/O-GF-20260613-raw-027.jpeg","cropped/O-GF-20260613-crop-027-menu-paket-lauk.jpeg","menu-paket-lauk","","5F7263EC1C531677AA8B45F6551DD6EBA2B0D07CBFC9361E2C3F655802223369","739","1600","78","Tampilan kategori Gerilya Nasi Padang lanjutan."
"028","WhatsApp Image 2026-06-13 at 22.56.17.jpeg","raw/O-GF-20260613-raw-028.jpeg","cropped/O-GF-20260613-crop-028-menu-paket-lauk.jpeg","menu-paket-lauk","","D885937B0971CBD9BCEB8232C077E0F560BBD50BD802762D0EC6FCDF8B13F228","739","1600","78","Tampilan kategori menu promo."
"029","WhatsApp Image 2026-06-13 at 22.56.171.jpeg","raw/O-GF-20260613-raw-029.jpeg","cropped/O-GF-20260613-crop-029-promo.jpeg","promo","","5ADDD62E0462B2DADB3281C645E308F573F69C39FF6E82B5939E885E416D326D","739","1600","78","Tampilan daftar promo/diskon GrabFood."
"030","WhatsApp Image 2026-06-13 at 22.56.18.jpeg","raw/O-GF-20260613-raw-030.jpeg","cropped/O-GF-20260613-crop-030-promo.jpeg","promo","","FDABD932AA8CA895CCB3E8853AAED5C16685DA976960450706FEADA8E3D8B420","739","1600","78","Tampilan daftar promo/diskon GrabFood lanjutan."
"031","WhatsApp Image 2026-06-13 at 22.56.181.jpeg","raw/O-GF-20260613-raw-031.jpeg","cropped/O-GF-20260613-crop-031-profil-rating.jpeg","profil-rating","","E3B7C41D726C758911AA8F12C8BCCB820F058363755A63C62D0A5078699679B7","739","1600","78","Tampilan profil toko, rating, ringkasan ulasan, dan informasi layanan."
