"no","merchant_code","merchant_name","original_file","raw_file","cropped_file","category","duplicate_of","sha256","width","height","cropped_top_px","description"
"001","DB","Rumah Makan Dendeng Batokok","IMG_4282.PNG","raw/dendeng-batokok/IMG_4282.PNG","cropped/dendeng-batokok/O-KP-20260619-DB-001.jpeg","profile-rating","","DE4B4342BBCCDB3BD279D940B9AB69FFB3B37804DEB605CAE98882A7D76117A9","1170","2532","110","Tampilan profil, rating, jumlah penilaian, status, jarak, dan ringkasan ulasan Rumah Makan Dendeng Batokok."
"002","DB","Rumah Makan Dendeng Batokok","IMG_4283.PNG","raw/dendeng-batokok/IMG_4283.PNG","cropped/dendeng-batokok/O-KP-20260619-DB-002.jpeg","profile-rating","","FA67E0131E31C8EFC8053100243CE161B1B722906D7B7B4BB28E696732F0B120","1170","2532","110","Tampilan profil, rating, jumlah penilaian, status, jarak, dan ringkasan ulasan Rumah Makan Dendeng Batokok."
"003","DB","Rumah Makan Dendeng Batokok","IMG_4284.PNG","raw/dendeng-batokok/IMG_4284.PNG","cropped/dendeng-batokok/O-KP-20260619-DB-003.jpeg","ulasan-pelanggan","","B3CFC05BC7EBF487FD1F53478179C3DAEBF4B18EED8562349B1C6D9A659A0903","1170","2532","110","Tampilan ulasan pelanggan Rumah Makan Dendeng Batokok di GrabFood."
"004","DB","Rumah Makan Dendeng Batokok","IMG_4285.PNG","raw/dendeng-batokok/IMG_4285.PNG","cropped/dendeng-batokok/O-KP-20260619-DB-004.jpeg","ulasan-pelanggan","","48BF230E6AC842CC35671F8DEE0FA22CAAA9934BC2C10099662E564176DBD7AD","1170","2532","110","Tampilan ulasan pelanggan Rumah Makan Dendeng Batokok di GrabFood."
"005","DB","Rumah Makan Dendeng Batokok","IMG_4286.PNG","raw/dendeng-batokok/IMG_4286.PNG","cropped/dendeng-batokok/O-KP-20260619-DB-005.jpeg","ulasan-pelanggan","","B1C91080B5BA8A8529470C766AE502E8E47A38B86DA6817ED7751BAB79F71A34","1170","2532","110","Tampilan ulasan pelanggan Rumah Makan Dendeng Batokok di GrabFood."
"006","DB","Rumah Makan Dendeng Batokok","IMG_4287.PNG","raw/dendeng-batokok/IMG_4287.PNG","cropped/dendeng-batokok/O-KP-20260619-DB-006.jpeg","ulasan-pelanggan","","66998C6917E90B5394691F870BBF208D08AD55219172CEEC4BFCB91B4A3CCF61","1170","2532","110","Tampilan ulasan pelanggan Rumah Makan Dendeng Batokok di GrabFood."
"007","DB","Rumah Makan Dendeng Batokok","IMG_4288.PNG","raw/dendeng-batokok/IMG_4288.PNG","cropped/dendeng-batokok/O-KP-20260619-DB-007.jpeg","ulasan-pelanggan","","E514DD59AF6117B0B1C3DFEE4A22BA5ACB9479068F4DD53C86D06E9831C6B41A","1170","2532","110","Tampilan ulasan pelanggan Rumah Makan Dendeng Batokok di GrabFood."
"008","DB","Rumah Makan Dendeng Batokok","IMG_4289.PNG","raw/dendeng-batokok/IMG_4289.PNG","cropped/dendeng-batokok/O-KP-20260619-DB-008.jpeg","ulasan-pelanggan","","A9E982E9DBEEC849B1D1229AD0477CE1BAFAA42C4D2B41DFD5BDBE4322DF7B59","1170","2532","110","Tampilan ulasan pelanggan Rumah Makan Dendeng Batokok di GrabFood."
"009","DB","Rumah Makan Dendeng Batokok","IMG_4290.PNG","raw/dendeng-batokok/IMG_4290.PNG","cropped/dendeng-batokok/O-KP-20260619-DB-009.jpeg","ulasan-pelanggan","","05ABB1C976C6E7847CF4CD419AEABB1A018E61C7E69500BA0E3303BCB6627B34","1170","2532","110","Tampilan ulasan pelanggan Rumah Makan Dendeng Batokok di GrabFood."
"010","DB","Rumah Makan Dendeng Batokok","IMG_4291.PNG","raw/dendeng-batokok/IMG_4291.PNG","cropped/dendeng-batokok/O-KP-20260619-DB-010.jpeg","ulasan-pelanggan","","A15E57A137120649DDEE395DB96EB5216988EDAFF4D28B8CB397884049AFAC79","1170","2532","110","Tampilan ulasan pelanggan Rumah Makan Dendeng Batokok di GrabFood."
