"appendix_no","appendix_title","appendix_tex","resource_snapshot","primary_resource_sources","direct_resource_refs","input_resource_refs","missing_resource_refs","missing_input_refs","reproducible_from_resource","notes"
"01","Dokumentasi Pra-Survei Observasi GrabFood","appendices/01-observasi-grabfood-nasi-gerilya-dan-kompetitor.tex","resource/06-analysis/appendix-reproducibility/source-tex/01-observasi-grabfood-nasi-gerilya-dan-kompetitor.tex","resource/03-prasurvey/grabfood-observation/; resource/03-prasurvey/00-rekap-koding/","6","0","0","0","yes","Gambar crop PA-GF/PA-HRG tersedia di resource; tabel harga ditopang screenshot dan koding pra-survei."
"02","Hasil Wawancara Awal Pemilik Nasi Gerilya","appendices/02-wawancara-awal-pemilik-nasi-gerilya.tex","resource/06-analysis/appendix-reproducibility/source-tex/02-wawancara-awal-pemilik-nasi-gerilya.tex","resource/03-prasurvey/interview-owner/","0","0","0","0","yes","Catatan wawancara awal juga tersedia sebagai resource W-PM-202604."
"03","Dokumentasi Kinerja Nasi Gerilya dan Kompetitor pada GrabFood","appendices/03-dokumentasi-indeks-kinerja-nasi-gerilya-dan-kompetitor-grabfood.tex","resource/06-analysis/appendix-reproducibility/source-tex/03-dokumentasi-indeks-kinerja-nasi-gerilya-dan-kompetitor-grabfood.tex","resource/03-prasurvey/performance-data/; resource/03-prasurvey/00-rekap-koding/","0","0","0","0","yes","Workbook dan bukti pendukung kinerja tersedia di resource; angka appendix direkap dari data tersebut."
"04","Checklist Data Penelitian Utama","appendices/04-cek-data-penelitian-utama.tex","resource/06-analysis/appendix-reproducibility/source-tex/04-cek-data-penelitian-utama.tex","resource/05-fieldwork/02-observasi-grabfood/20260613-nasi-gerilya/; resource/05-fieldwork/02-observasi-grabfood/20260619-kompetitor/; resource/06-analysis/gap-closure/","0","0","0","0","yes","Lampiran berbentuk checklist/lembar kerja; sumber datanya adalah observasi dan gap register."
"05","Pedoman Wawancara Penelitian Utama","appendices/05-pedoman-wawancara-penelitian-utama.tex","resource/06-analysis/appendix-reproducibility/source-tex/05-pedoman-wawancara-penelitian-utama.tex","resource/05-fieldwork/00-instrumen-penelitian/; resource/05-fieldwork/02-observasi-grabfood/; resource/03-prasurvey/00-rekap-koding/","0","0","0","0","yes","Pedoman juga tersimpan sebagai instrumen penelitian dan snapshot appendix."
"06","Lembar Observasi GrabFood dan Kompetitor","appendices/06-lembar-observasi-grabfood-dan-kompetitor.tex","resource/06-analysis/appendix-reproducibility/source-tex/06-lembar-observasi-grabfood-dan-kompetitor.tex","resource/05-fieldwork/02-observasi-grabfood/20260613-nasi-gerilya/; resource/05-fieldwork/02-observasi-grabfood/20260619-kompetitor/","0","0","0","0","yes","Rekap observasi dapat diturunkan dari manifest dan coded evidence observasi."
"07","Format Survei Pelanggan Pendukung","appendices/07-format-survei-pelanggan-pendukung.tex","resource/06-analysis/appendix-reproducibility/source-tex/07-format-survei-pelanggan-pendukung.tex","resource/05-fieldwork/00-instrumen-penelitian/; resource/05-fieldwork/04-survei-pelanggan/20260630-angket-terbuka-grabfood/","0","0","0","0","yes","Format survei dan hasil survei pelanggan tersedia di resource."
"08","Template Rekap Data dan Koding Tematik","appendices/08-template-rekap-data-dan-koding-tematik.tex","resource/06-analysis/appendix-reproducibility/source-tex/08-template-rekap-data-dan-koding-tematik.tex","resource/05-fieldwork/07-rekap-koding/; resource/03-prasurvey/00-rekap-koding/; resource/06-analysis/triangulation/","0","0","0","0","yes","Template dan isi koding dapat dilacak ke rekap koding lapangan serta koding pra-survei."
"09","Template Triangulasi Data","appendices/09-template-triangulasi-data.tex","resource/06-analysis/appendix-reproducibility/source-tex/09-template-triangulasi-data.tex","resource/06-analysis/triangulation/; resource/06-analysis/gap-closure/; resource/05-fieldwork/07-rekap-koding/","0","0","0","0","yes","Kriteria triangulasi ditopang source map dan protokol gap closure."
"10","Template IFAS, EFAS, dan Matriks SWOT","appendices/10-template-ifas-efas-swot.tex","resource/06-analysis/appendix-reproducibility/source-tex/10-template-ifas-efas-swot.tex","resource/06-analysis/ifas-efas/; resource/06-analysis/swot/; resource/05-fieldwork/07-rekap-koding/; resource/06-analysis/gap-closure/","0","0","0","0","yes","Faktor awal SWOT dapat dilacak ke koding, triangulasi, dan protokol batas klaim."
"11","Evidence Observasi GrabFood Nasi Gerilya 20260613","appendices/11-evidence-observasi-grabfood-20260613.tex","resource/06-analysis/appendix-reproducibility/source-tex/11-evidence-observasi-grabfood-20260613.tex","resource/05-fieldwork/02-observasi-grabfood/20260613-nasi-gerilya/; resource/06-analysis/appendix-reproducibility/generated-source-tex/","0","76","0","0","yes","Appendix memakai input generated; generated item list dan seluruh 76 crop evidence tersedia."
"12","Evidence Observasi GrabFood Kompetitor 20260619","appendices/12-evidence-observasi-grabfood-kompetitor-20260619.tex","resource/06-analysis/appendix-reproducibility/source-tex/12-evidence-observasi-grabfood-kompetitor-20260619.tex","resource/05-fieldwork/02-observasi-grabfood/20260619-kompetitor/","59","0","0","0","yes","Appendix memakai crop utama dan contact sheet kompetitor; seluruh path resource tersedia."
"13","Poster Rekrutmen Informan Pelanggan","appendices/13-poster-rekrutmen-informan-pelanggan.tex","resource/06-analysis/appendix-reproducibility/source-tex/13-poster-rekrutmen-informan-pelanggan.tex","resource/05-fieldwork/03-rekrutmen-informan/","1","0","0","0","yes","Poster rekrutmen pelanggan tersedia di resource."
