"Peneliti
 (Tahun)",Judul Penelitian,Metode Analisis,Hasil Penelitian,Link ,DOI,Tipe,Link file,H5 Index,SINTA
Putri et al. (2022),DIGITAL MARKETING STRATEGY TO SURVIVE DURING COVID-19 PANDEMIC,Studi kasus kualitatif,"Penelitian menemukan bahwa BC Street Coffee berhasil bertahan selama pandemi COVID-19 dengan menerapkan dua strategi pemasaran digital utama. Pertama, strategi social media marketing, di mana BC Street Coffee memanfaatkan Instagram dan Facebook untuk menyebarkan informasi produk dan promosi, termasuk integrasi dengan aplikasi pesan antar seperti GoFood dan GrabFood. Kedua, strategi content marketing, di mana BC Street Coffee mengemas konten pemasaran secara kreatif melalui foto menarik, caption, hashtag, dan video, serta berkolaborasi dengan influencer lokal untuk memperkenalkan produk kepada audiens yang lebih luas. Sebelum menerapkan strategi ini, BC Street Coffee mengalami penurunan pendapatan hingga 88,9% pada tahun 2020 akibat pandemi. Dengan peralihan ke pemasaran digital, usaha ini mampu menstabilkan bahkan meningkatkan penjualan secara online, sehingga terbukti bahwa adaptasi strategi digital menjadi kunci keberlangsungan usaha di tengah krisis.",https://jurnal.stie-aas.ac.id/index.php/IJEBAR/article/view/4084,https://doi.org/10.29040/ijebar.v6i1.4084,Jurnal,,42,4
Sophia et al. (2025),ANALISIS STRATEGI PEMASARAN RENDANG GADIH MELLUI PLATFORM SHOPEE UNTUK MENINGKATKAN PENJUALAN,Deskriptif kualitatif,"Penelitian menemukan bahwa Rendang Gadih berhasil meningkatkan penjualan melalui penerapan strategi pemasaran digital di platform Shopee secara menyeluruh. Dari sisi STP, usaha ini menerapkan segmentasi demografis, geografis, dan psikografis dengan menargetkan konsumen di luar Sumatera Barat. Positioning produk diperkuat melalui branding yang didukung oleh penghargaan pemerintah dan loyalitas pelanggan. Dari sisi bauran pemasaran 4P, strategi yang diterapkan mencakup kehadiran berbagai varian produk, penerapan psychological pricing dan price bundling, serta pemanfaatan fitur-fitur Shopee seperti Shopee CRM, Shopee Live, Shopee Ads, dan Shopee Campaign. Secara keseluruhan, penerapan strategi ini terbukti memberikan dampak positif terhadap peningkatan penjualan, dan penelitian ini diharapkan dapat menjadi referensi bagi UMKM lain dalam mengoptimalkan pemasaran digital untuk meningkatkan daya saing.",https://plj.ac.id/ojs/index.php/jrlab/article/view/1475/1006,https://doi.org/10.34127/jrlab.v14i2.1475,Jurnal,,30,4
"Nadia Ika Purnama, dkk. (2021)",Analisis E-commerce dalam Membantu Penjualan UMKM di Tengah Pandemi,Kualitatif Deskriptif melalui studi literatur dan tinjauan berbagai sumber data sekunder terkait dampak pandemi bagi UMKM.,E-commerce berperan sebagai solusi krusial bagi UMKM untuk bertahan melalui digitalisasi proses penjualan. Penggunaan platform digital memungkinkan UMKM memperluas jangkauan pasar dan menjaga efisiensi operasional di tengah penurunan tingkat konsumsi langsung akibat pembatasan mobilitas.,https://www.neliti.com/publications/454923/analisis-e-commerce-dalam-membantu-penjualan-umkm-di-tengah-pandemi,https://doi.org/10.30596/ekonomikawan.v21i2.8503,Jurnal,,24,5
"Pratama et al.
(2024)",STRATEGI PEMASARAN DIGITAL UNTUK MENINGKATKAN PENJUALAN UMKM SAMBEL MOJI,"Analisis
Deskriptif","Peningkatan penjualan menjadi fokus utama. Adapun solusi yang diusulkan, berfokus pada optimalisasi pemanfaatan media sosial, khususnya Instagram sebagai alat pemasaran utama. Selain itu, diadakan pelatihan terkait pemasaran dengan materi tim influencer atau content creator, yaitu pemanfaatan tools untuk pemasaran, dan saran konten untuk meningkatkan keterampilan pemasaran digital melalui media sosial",https://www.researchgate.net/publication/382820585_Strategi_Pemasaran_Digital_untuk_Meningkatkan_Penjualan_UMKM_Sambel_Moji,https://doi.org/10.37715/leecom.v6i1.4532,Jurnal,,7,5
Kholifah et al.(2025),Website-Based Digital Marketing and Digital Branding as a Strategy to Increase Ecoprint Product Sales at Tembindigo MSME,Participatory Action Research (PAR) yang dikombinasikan dengan diseminasi Ilmu Pengetahuan dan Teknologi (Ipteks),"Penelitian menemukan bahwa penerapan strategi digital marketing dan digital branding berbasis website memberikan dampak nyata bagi UMKM Tembindigo. Website yang dirancang secara profesional terbukti meningkatkan eksposur bisnis secara signifikan, yang tercermin dari lonjakan jumlah pengunjung (visitor traffic) serta peningkatan penjualan produk aksesori dan layanan workshop. Tiga faktor utama yang menarik pelanggan baru adalah konsistensi visual, kejelasan narasi (narrative clarity), dan kemudahan dalam proses pemesanan. Secara lebih luas, penelitian ini memberikan wawasan praktis bagi UMKM berbasis ecoprint lainnya tentang pentingnya membangun ekosistem pemasaran digital yang terstruktur, terintegrasi, dan berakar pada nilai-nilai lokal sebagai respons terhadap era transformasi digital.",https://jmedika.com/index.php/medika/article/view/207,https://doi.org/10.31004/77fngm94,Jurnal,,6,4
,STRATEGI PEMASARAN DIGITAL PADA UMKM MAKANAN RINGAN DI KOTA BOGOR,,,,,,https://drive.google.com/file/d/15vkgv6Uo7m0kPezF2b5MBt8fi3NFlht8/view?usp=sharing,,
Hidayah et al (2021),EFFECTIVENESS OF DIGITAL PLATFORMS AS FOOD AND BEVERAGE MARKETING MEDIA DURING THE COVID-19 PANDEMIC,wawancara dan studi literatur.,"1) Penggunaan platform media sosial seperti Instagram (80%), Facebook (70%), dan WhatsApp (55%) terbukti sangat efektif dalam memperluas jaringan pemasaran serta meningkatkan volume penjualan produk makanan dan minuman selama masa pandemi; 2) Strategi kolaborasi dengan influencer atau celebrity endorsement serta penerapan Word of Mouth (WOM) secara digital berperan signifikan dalam membangun kesadaran merek dan menarik minat beli konsumen secara interaktif; 3) Integrasi layanan pesan antar makanan (online food delivery) seperti GrabFood, GoFood, dan ShopeeFood yang didukung oleh fitur promosi berupa diskon serta gratis ongkos kirim menjadi kunci keberhasilan dalam menjaga aksesibilitas dan efisiensi operasional bisnis kuliner di tengah pembatasan sosial.",,https://doi.org/10.20473/ajim.v2i2.30696,Jurnal,,4,3
,STRATEGI PEMASARAN DIGITAL UNTUK MENINGKATKAN PENJUALAN UMKM SEKTOR KULINER,,,https://ejurnal.swadharma.ac.id/index.php/kompleksitas/article/view/660,https://doi.org/10.56486/kompleksitas.vol14no1.660,Jurnal,,0,5
,STRATEGI PEMASARAN DALAM MENINGKATKAN HASIL PENJUALAN RUMAH MAKAN PADANG GADIH MINANG,,,http://journal.uib.ac.id/index.php/nacospro,https://doi.org/10.37253/nacospro.v3i1.5973,Conference,,,
,,,,,,,,,
