"key","type","status","file"
"putro2025digitaltransformation","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\putro2025digitaltransformation.pdf"
"sophia2025rendanggadih","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\sophia2025rendanggadih.pdf"
"elverda2025ofdindonesia","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\elverda2025ofdindonesia.pdf"
"putri2022grabfood","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\putri2022grabfood.pdf"
"santoso2023esatisfaction","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\santoso2023esatisfaction.pdf"
"nurwansyah2025miegacoan","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\nurwansyah2025miegacoan.pdf"
"helms2010swotreview","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\helms2010swotreview.pdf"
"gurel2017swot","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\gurel2017swot.pdf"
"putri2022survivepandemic","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\putri2022survivepandemic.pdf"
"purnama2021ecommerceumkm","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\purnama2021ecommerceumkm.pdf"
"pratama2024sambelmoji","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\pratama2024sambelmoji.pdf"
"kholifah2025tembindigo","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\kholifah2025tembindigo.pdf"
"hidayah2021digitalplatforms","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\hidayah2021digitalplatforms.pdf"
"maharani2025kuliner","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\maharani2025kuliner.pdf"
"mamuriyah2021gadihminang","inproceedings","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\proceeding\mamuriyah2021gadihminang.pdf"
"fatmawatie2022turnover","inproceedings","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\proceeding\fatmawatie2022turnover.pdf"
"indriyani2025gudangbaju","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\indriyani2025gudangbaju.pdf"
"agustin2025bumikayu","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\agustin2025bumikayu.pdf"
"rachmawati2023candisari","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\rachmawati2023candisari.pdf"
"putri2024cikarang","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\putri2024cikarang.pdf"
"kong2023premiumcigars","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\kong2023premiumcigars.pdf"
"matos2022sodabrand","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\matos2022sodabrand.pdf"
"azzahra2024guzzini","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\azzahra2024guzzini.pdf"
"kurniawan2023lamme","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\kurniawan2023lamme.pdf"
"ismail2025halalculinary","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\ismail2025halalculinary.pdf"
"dini2024resilient","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\dini2024resilient.pdf"
"strydom2022churn","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\strydom2022churn.pdf"
"azhari2026gofood","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\azhari2026gofood.pdf"
"londono2024engagement","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\londono2024engagement.pdf"
"purnomo2023conversion","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\purnomo2023conversion.pdf"
"pradana2025infarm","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\pradana2025infarm.pdf"
"sudirjo2024scarlett","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\sudirjo2024scarlett.pdf"
"zaheer2024ofda","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\zaheer2024ofda.pdf"
"saptaji2025karawang","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\saptaji2025karawang.pdf"
"ruhiyat2023minatbeli","article","downloaded","C:\Users\reido\Documents\Marsia\skripsi\tex\resource\journal\ruhiyat2023minatbeli.pdf"
